firstName,lastName,numCoins1,numCoins5,numCoins10,numCoins50,numBanknotes1,numBanknotes5,numBanknotes10,numBanknotes20,numBanknotes50,numBanknotes100,numBanknotes200,numBanknotes500
Ion,Popescu,0,0,0,0,1,0,2,3,1,0,0,0
Maria,Ionescu,0,10,4,1,0,2,1,0,0,1,0,0
Andrei,Dumitrescu,5,0,2,0,0,1,3,1,2,1,0,0
Elena,Popa,3,8,1,5,2,0,0,2,1,2,1,0
Gheorghe,Constantin,0,0,5,3,0,0,2,0,0,0,2,1
Ana,Stoica,7,0,1,0,1,1,0,4,3,1,0,0
Mihai,Radu,2,6,4,2,0,2,1,1,1,0,1,0
Cristina,Niculescu,5,5,3,1,1,0,3,2,0,2,0,0
Florin,Vasile,8,0,2,4,0,1,2,0,2,1,1,0
Alina,Marin,1,4,6,0,2,0,1,3,0,0,1,1
